unit,direction,k,si,si_z,p,peak_rate,peak_pos,mean_rate,width,sparsity,contrast,participation,stability,n_spikes,session,track_cm,maze_type
7,rightward,3,0.17865495937813342,19.00425326033812,0.0,11.600717801111331,38.0,6.415244381103867,60.0,0.8194048322027928,2.4620114307477032,1.0,0.8906600477571793,646.0,Achilles_10252013,160.0,linear
9,rightward,4,0.9700982016209895,18.888692762967136,0.0,9.41359672467783,158.0,1.4552577301231548,20.0,0.30010126014222016,9.82935051000331,0.5405405405405406,0.9826230878214872,145.0,Achilles_10252013,160.0,linear
11,rightward,5,0.6551771742516947,28.04870744122429,0.0,7.530047263190637,22.0,2.282549685689716,28.0,0.49864042279989806,5.7564996307448295,0.9722222222222222,0.9533949993021003,228.0,Achilles_10252013,160.0,linear
12,rightward,6,0.36775365670972093,29.602572533145903,0.0,18.03316243835981,58.0,8.88215317306921,80.0,0.6806940845226993,3.89858313354406,1.0,0.9734406968446707,888.0,Achilles_10252013,160.0,linear
13,rightward,7,0.5815249356073292,11.974966064277648,0.0,2.073312975916972,6.0,0.6833222232949341,16.0,0.5570563744338506,4.776101767031787,0.5833333333333334,0.9112945864582788,70.0,Achilles_10252013,160.0,linear
16,rightward,8,0.9152808443799066,27.1232400082043,0.0,6.324168470125955,10.0,1.8959692556636687,28.0,0.42217904931480565,9.516495319659509,0.9722222222222222,0.9689798877552713,194.0,Achilles_10252013,160.0,linear
21,rightward,11,0.2711772183469192,4.579125497155797,0.000999000999000999,1.3073641119419572,50.0,0.8074076465847513,92.0,0.7771718672325878,4.444956579064057,0.6923076923076923,0.5028318804274228,82.0,Achilles_10252013,160.0,linear
23,rightward,13,1.4652152191738708,43.12970717207412,0.0,26.039479897283588,138.0,5.559420750874358,48.0,0.29124825990085085,15.960215626195104,0.9736842105263158,0.9885521163445525,556.0,Achilles_10252013,160.0,linear
27,rightward,14,0.806027362039259,30.24969097418856,0.0,15.043533810033473,30.0,5.228495336884581,44.0,0.4866214691148698,9.463839921401265,1.0,0.9900853668793229,530.0,Achilles_10252013,160.0,linear
29,rightward,16,0.09483614980387894,13.777442539634293,0.0,20.196277446826684,142.0,12.754985798473413,56.0,0.885646793254989,1.5317797644572624,0.9487179487179487,0.9036860141459849,1281.0,Achilles_10252013,160.0,linear
33,rightward,17,0.6509652306537294,26.51595980560092,0.0,12.369261387160556,90.0,4.144722670036991,56.0,0.5147646051446256,4.892964632704693,0.9743589743589743,0.9779723013098451,412.0,Achilles_10252013,160.0,linear
39,rightward,18,0.8924503765141669,34.93139139053447,0.0,22.470919115284406,26.0,5.60874618463072,28.0,0.4045605217171499,8.618225887450276,1.0,0.9894988717373867,564.0,Achilles_10252013,160.0,linear
41,rightward,19,0.1430002344837964,2.5623049881235684,0.00999000999000999,1.3022416061956896,114.0,0.7729360989457812,44.0,0.8566338607089257,1.4716011791818113,0.48717948717948717,0.24462879064880091,78.0,Achilles_10252013,160.0,linear
50,rightward,23,0.8288386213267351,7.347832781891486,0.0,4.77298042959508,38.0,1.1648154916519657,24.0,0.43191773368326186,6.16863887315121,0.32432432432432434,0.8779106515082611,115.0,Achilles_10252013,160.0,linear
51,rightward,24,0.9994114496322082,30.473622442084615,0.0,15.701183563358372,22.0,5.14162906114973,36.0,0.42669445681102003,12.36630757934287,1.0,0.9948025107121161,520.0,Achilles_10252013,160.0,linear
52,rightward,25,0.7554771492187131,33.79908097139788,0.0,11.863161275009857,86.0,3.4237182708463614,40.0,0.46710567891444515,5.885140603169685,0.8974358974358975,0.9910629530777,346.0,Achilles_10252013,160.0,linear
54,rightward,27,0.4188947001357537,13.848273280445254,0.0,7.226253535659443,10.0,2.619984055438149,24.0,0.5924898198095934,4.345027329141449,0.9166666666666666,0.9029360016261605,266.0,Achilles_10252013,160.0,linear
55,rightward,28,0.27307045505418465,43.805386246329874,0.0,24.071911547920887,22.0,11.765937964339226,48.0,0.744697383563513,2.887624472802275,1.0,0.9589969312455515,1183.0,Achilles_10252013,160.0,linear
56,rightward,29,1.50201578511433,27.559664409144215,0.0,19.963475273842985,10.0,5.245016388130023,28.0,0.3235765027890804,23.713872916781277,0.9166666666666666,0.9963285177003668,534.0,Achilles_10252013,160.0,linear
57,rightward,30,0.6134793582765239,8.383354954333015,0.0,10.69836013343748,126.0,2.9719100591050798,44.0,0.4869093507045625,5.251990351224073,0.7948717948717948,0.9223043438904125,297.0,Achilles_10252013,160.0,linear
76,rightward,36,0.7152287008571588,16.14323225510278,0.0,4.402006302513956,158.0,0.9287285349320176,20.0,0.4420596186782755,6.452372231188288,0.6216216216216216,0.9068391178523557,95.0,Achilles_10252013,160.0,linear
82,rightward,39,0.8368593376361175,25.230638831449923,0.0,7.903503183770196,58.0,2.6059825811672805,48.0,0.4620877198484282,7.187206508964566,0.9743589743589743,0.9803174569751125,260.0,Achilles_10252013,160.0,linear
92,rightward,46,1.7376070429801485,37.69376506671554,0.0,28.875593888620458,2.0,6.059903936434801,20.0,0.26693240604438034,26.29270670290738,1.0,0.9943469304454492,617.0,Achilles_10252013,160.0,linear
95,rightward,49,2.3414092988074144,22.13069767017844,0.0,11.944726628491559,2.0,1.3164568319230026,8.0,0.1592241693300915,32.42277037127549,0.7142857142857143,0.984033463115805,125.0,Achilles_10252013,160.0,linear
96,rightward,50,0.9742365196859806,4.89366524294304,0.0,3.0418371139847715,2.0,0.5211711219491568,8.0,0.3473923376989479,8.85446645510567,0.3142857142857143,0.8923729087118012,50.0,Achilles_10252013,160.0,linear
103,rightward,54,0.57223971981415,8.380822218605426,0.0,2.9878756445774095,138.0,0.7408343211917319,28.0,0.5139729991054137,4.446587008699605,0.5789473684210527,0.8598618595720251,73.0,Achilles_10252013,160.0,linear
109,rightward,56,1.5620486536063012,15.761489297347975,0.0,4.68331828499548,142.0,0.8815115990520072,32.0,0.2606164891220555,10.313412972305718,0.5263157894736842,0.9460555058083591,88.0,Achilles_10252013,160.0,linear
112,rightward,59,2.4575334827328477,15.769385626965573,0.0,8.367933177987519,2.0,0.7999833960688397,8.0,0.1398981816025498,42.359423228153055,0.45714285714285713,0.986109071385163,72.0,Achilles_10252013,160.0,linear
113,rightward,60,0.7141744776376473,24.0840131064715,0.0,14.922407976982642,26.0,4.688185086471641,28.0,0.492124458073628,6.18611274505612,1.0,0.9803982040920444,472.0,Achilles_10252013,160.0,linear
116,rightward,62,0.2961359684628044,8.486425321224333,0.0,2.0953972696651433,110.0,0.9162349640283503,72.0,0.7015746669176891,3.2153075109544886,0.7692307692307693,0.7325698116903688,91.0,Achilles_10252013,160.0,linear
118,rightward,64,0.41247575075266313,11.790758353974288,0.0,5.659796077913909,42.0,1.7878366524140152,28.0,0.5978215167739367,4.2401462683766855,0.7297297297297297,0.8249647401213988,179.0,Achilles_10252013,160.0,linear
